机型,发布年份,架构与平台定位
Dell Precision T5820,2017 年,单路高性能工作站（基于 Intel C422 芯片组 / LGA 2066 插槽，支持 Xeon W-2100 / W-2200 系列处理器）
Dell Precision T7920,2017 年,双路旗舰级工作站（基于 Intel C621 芯片组 / LGA 3647 插槽，支持 Intel Xeon Scalable 至强可扩展第一代/第二代处理器）
