软件包名称,作用层级,用途
iw, 无线底层配置工具(替代iwconfig), 查看无线网卡支持的物理频段（2.4GHz/5GHz）、最大发射功率，或者强制切换信道 
wireless-tools, 兼容配置工具(iwconfig和iwlist), 虽然被逐渐弃用，但很多老旧的开源运维脚本和检测工具依然深度依赖 
net-tools, 传统网络国内工具(ifconfig和route), 方便传统运维使用
