状态码,说明
``D``,不可中断睡眠状态（通常是IO或者是关键的系统进程，除非重启该进程不能被杀死）
``I``,Idle状态的内核进程
``R``,运行中或者可运行的（在运行队列中）状态
``S``,可中断的睡眠状态 (等待一个事件完成后唤醒)
``T``,停止状态，或者通过一个任务控制信号
``t``,由于正在被跟踪而被debugger停止的进程
``W``,分页中状态（在2.6.xx内核以后不再使用）
``X``,死亡状态（以后不可见）
``Z``,不工作（"僵尸"）进程，被终止的进程但是没有被父进程回收
