服务,开源,可选,说明
Qovery Engine,是,否,事务性部署服务，负责维护基础架构并部署具有所有依赖项的应用程序
Qovery Agent,即将,否,将应用程序日志、服务状态和实时指标转发到 Qovery 控制平面的服务
Kubernetes,是,否,容器调度编排系统，Qovery在云托管Kubernetes上运行你的应用程序
External DNS,是,否,为Kubernetes服务配置外部DNS的工具
Cert Manager,是,否,为Kubernetes服务配置和管理TLS证书的工具
Loki,是,是,用于聚合 Kubernetes 日志的工具，Qovery 代理实时从 Loki 获取日志
Grafana,是,是,用于可视化基础架构和应用服务的指标和日志的产品
NGINX Ingress,是,否,Kuberntes的NGINX Ingress控制器

