"ID","Severity","Class","Last Update","Count","Description"
"298","Critical","CPU","12/18/2024 13:56","1","Uncorrectable Machine Check Exception (Board 0, Processor 1, APIC ID 0x00000002, Bank 0x00000012, Status 0xBE200000'000C110A, Address 0x00000000'80210000, Misc 0xB8FC3816'00402086)"
"297","Critical","CPU","12/18/2024 13:56","1","Uncorrectable Machine Check Exception (Board 0, Processor 1, APIC ID 0x00000002, Bank 0x00000000, Status 0xBD800000'00000006, Address 0x00000000'00000000, Misc 0x000007FA'9A729000)"
"296","Critical","PCI Bus","12/18/2024 13:54","1","PCI Bus Error (Slot 0, Bus 0, Device 0, Function 0)"
