"ID","Severity","Class","Last Update","Count","Description"
"300","Critical","CPU","12/19/2024 12:04","1","Uncorrectable Machine Check Exception (Board 0, Processor 1, APIC ID 0x00000000, Bank 0x00000012, Status 0xBE200000'000C110A, Address 0x00000000'80210000, Misc 0xB8FC3816'00402086)"
"299","Critical","PCI Bus","12/19/2024 12:02","1","PCI Bus Error (Slot 0, Bus 0, Device 0, Function 0)"
